,date_int,tournament,geodesic,geodesic_home,pop_home,pop_away,home_score,away_score
14409,78471,49,1145.1126163591214,474.05177161749117,16374337.0,2866890.5,1,0
3741,74247,24,8346.738196814149,258.82211763562384,67031366.5,14521523.0,2,0
15716,78970,50,1348.4551038892707,1147.280199376004,1676892.0,131679.5,3,1
10670,77008,7,2383.9184742103025,467.9360335735269,6011601.0,3329034.0,2,0
10941,77077,24,18751.829437765668,623.9859393799161,1764.0,17027226.0,1,0
11560,77354,24,1499.1864590951761,38.46637648259383,656077.0,1334333.5,1,0
7994,75915,23,958.7662920618695,166.58221917822036,7552473.5,1334333.5,0,3
15254,78761,14,12900.3846759273,767.4034163409862,673275.0,1764.0,0,0
6038,75184,49,19410.177468051967,19618.120175711076,29289.5,27000921.0,0,13
3774,74253,23,9620.210015898272,199.22319024642977,12342031.5,1764.0,1,3
1878,73388,23,2245.0677528814244,2232.8577566904955,74380224.5,3039297.5,4,0
7028,75586,49,18143.774594361323,623.9859393799161,1764.0,626174.0,3,0
3385,74102,24,1204.8553139943365,69.85394052499544,653909.0,6011601.0,1,3
5538,74964,24,18032.06910837277,623.9859393799161,1764.0,2045057.0,5,0
9692,76661,8,623.9859393799161,623.9859393799161,1764.0,1764.0,11,0
8208,75964,13,2646.0233999264433,354.9723733150659,5381876.5,143865.0,1,1
9256,76441,21,2328.604716894328,9657.370510599923,1764.0,293130137.0,0,2
10693,77010,23,305.4466828500459,23.64506487131218,131679.5,2591961.5,1,2
11944,77451,24,2634.184801046055,388.95741785196805,12342031.5,19098968.0,1,1
13700,78174,12,11879.006300025352,1978.2005984805987,338021.5,1764.0,4,2
14484,78503,23,12949.863954318296,62.481797821645024,2763952.0,14863850.0,2,0
11591,77374,24,12872.613915793552,15286.537011891758,1126598.0,1787602.5,1,0
1343,73209,13,12350.943096302375,69.38859681988451,2202262.0,1764.0,12,1
16556,79352,24,17793.11769932829,2251.982162427756,1063223.5,1764.0,0,1
5758,75086,24,18531.28684951015,3416.175406412507,38197.5,1764.0,2,4
12557,77688,25,12405.100697345564,10763.900102748286,1968091.0,338021.5,0,2
3921,74323,24,767.4034163409862,69.85394052499544,653909.0,673275.0,0,0
2451,73707,24,903.9743888402065,38.46637648259383,656077.0,187608.0,5,0
11928,77445,24,1407.4222380017975,416.5837458743434,18504015.5,3611597.5,0,1
7915,75898,24,131.5581218283916,867.083559522712,4482436.0,219229.5,3,0
10454,76952,23,623.9859393799161,12364.873848279918,4431441.0,1764.0,4,0
8176,75954,23,15396.229559094207,10468.74613193163,67031366.5,7717590.5,1,1
1629,73283,33,9713.41775822178,6006.3336306810825,360697.0,1764.0,0,1
10804,77042,7,12872.613915793552,16203.796590732882,1611846.0,1787602.5,2,2
3287,74071,24,872.8313660176917,85.24365314314382,626174.0,10328576.5,1,2
