,date_int,tournament,geodesic,geodesic_home,pop_home,pop_away,result
40,79496,22,1029.8730988654602,10258.607210503036,55203918.5,3669364.5,
46,79497,22,2828.3491052749423,10560.771295138664,1334332.5,3740160.5,
25,79491,22,1885.324643941559,1461.1843868589617,2007297.0,3039297.5,
37,79495,22,11994.190909515179,13843.11638056452,14863850.0,15577990.0,
35,79494,22,4132.5631788564215,3212.8422736391362,17027226.0,11598629.5,
22,79490,22,1648.327398848089,13389.6442821007,25539953.5,1474150.0,
34,79494,22,3605.9547255150073,2896.4366032330204,30444730.5,3879103.5,
10,79486,22,1885.324643941559,10765.038136405812,100038543.0,3039297.5,
61,79510,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
13,79487,22,15695.359202731486,2828.3491052749423,3740160.5,176661.5,
47,79497,22,1877.6902278403693,15695.359202731486,176661.5,3569803.0,
20,79490,22,13843.11638056452,1309.4694070918765,1862032.5,14863850.0,
44,79497,22,907.7216485088467,7601.619314861457,67031366.5,10328576.5,
18,79489,22,3576.4580082589464,12846.992270182416,1759166.0,16820282.0,
7,79485,22,5634.508791628667,1648.327398848089,1474150.0,31019153.0,
14,79488,22,7601.619314861457,10471.532609367192,23900626.0,67031366.5,
27,79492,22,10258.607210503036,15695.359202731486,176661.5,55203918.5,
53,79501,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
31,79493,22,10471.532609367192,907.7216485088467,10328576.5,23900626.0,
16,79488,22,2999.1548865747445,2589.256693715156,74380224.5,24656196.0,
24,79491,22,2919.174021289281,5634.508791628667,31019153.0,176661.5,
42,79496,22,10765.038136405812,1461.1843868589617,2007297.0,100038543.0,
23,79491,22,10644.19491423349,10765.038136405812,100038543.0,1216465.5,
8,79486,22,1461.1843868589617,10644.19491423349,1216465.5,2007297.0,
5,79485,22,2919.174021289281,13389.6442821007,25539953.5,176661.5,
50,79500,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
1,79484,22,12846.992270182416,2999.1548865747445,24656196.0,1759166.0,
38,79495,22,13389.6442821007,5634.508791628667,31019153.0,25539953.5,
6,79485,22,1309.4694070918765,11994.190909515179,15577990.0,1862032.5,
45,79497,22,10471.532609367192,6107.374138472021,3737082.0,23900626.0,
29,79493,22,10560.771295138664,15695.359202731486,176661.5,1334332.5,
59,79506,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
36,79495,22,3220.92016978685,1309.4694070918765,1862032.5,16988693.5,
51,79500,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
2,79484,22,2896.4366032330204,4132.5631788564215,11598629.5,30444730.5,
21,79490,22,11994.190909515179,3220.92016978685,16988693.5,15577990.0,
56,79505,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
55,79502,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
49,79499,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
62,79513,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
30,79493,22,6107.374138472021,7601.619314861457,67031366.5,3737082.0,
43,79496,22,10644.19491423349,1885.324643941559,3039297.5,1216465.5,
60,79509,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
0,79483,22,3576.4580082589464,2589.256693715156,74380224.5,16820282.0,
28,79492,22,1029.8730988654602,1526.5691955496277,27000921.0,3669364.5,
32,79494,22,2589.256693715156,12846.992270182416,1759166.0,74380224.5,
48,79499,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
3,79484,22,3212.8422736391362,3605.9547255150073,3879103.5,17027226.0,
9,79486,22,10258.607210503036,1526.5691955496277,27000921.0,55203918.5,
63,79514,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
12,79487,22,10560.771295138664,1877.6902278403693,3569803.0,1334332.5,
54,79502,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
33,79494,22,2999.1548865747445,3576.4580082589464,16820282.0,24656196.0,
11,79487,22,15695.359202731486,1029.8730988654602,3669364.5,176661.5,
19,79489,22,3212.8422736391362,2896.4366032330204,30444730.5,17027226.0,
17,79489,22,4132.5631788564215,3605.9547255150073,3879103.5,11598629.5,
15,79488,22,6107.374138472021,907.7216485088467,10328576.5,3737082.0,
58,79506,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
52,79501,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
4,79485,22,13843.11638056452,3220.92016978685,16988693.5,14863850.0,
26,79492,22,2828.3491052749423,1877.6902278403693,3569803.0,3740160.5,
39,79495,22,1648.327398848089,2919.174021289281,176661.5,1474150.0,
57,79505,22,15695.359202731486,15695.359202731486,176661.5,176661.5,
41,79496,22,1526.5691955496277,15695.359202731486,176661.5,27000921.0,
